Predicted
532.381407
532.175546
531.567719
530.76197
529.868799
528.949128
528.035788
527.145422
526.285909
525.4603
524.669153
523.911869
523.187128
522.493569
521.829543
521.193689
520.584479
520.000574
519.440737
518.903708
518.388438
517.893769
517.418796
